crop,p,c1,c2,land_area_ha,yield_kg_per_ha,production_kg,nuse_kg,nfert_kg_per_ha
cassava,40,30,-30,47887.57,2641.59,126499197.85,2611258.43,54.53
sesame,50,20,10,391656.8,465.87,182463008.76,15317427.14,39.11
sesame,20,-30,10,1286764.47,177.08,227861004.38,25105003.81,19.51
groundnuts,-40,10,0,71337.32,1750.61,124883628.59,3847694.26,53.94
maize,-40,-20,30,71515.39,1277.49,91360165.53,4104478.65,57.39
groundnuts,40,-10,0,765917.44,258.59,198060094.96,16467043.67,21.5
groundnuts,-50,40,-50,30045.19,3810.8,114496074.23,3586270.53,119.36
sesame,50,10,10,483010.4,422.0,203828703.48,22465771.24,46.51
cassava,20,-20,20,1199810.8,125.2,150219216.46,4048676.91,3.37
sorghum,50,0,0,634968.6,1190.97,756226052.36,42602591.04,67.09
sesame,10,-10,0,954696.27,235.29,224630570.49,25675233.5,26.89
sesame,20,-40,-30,1286764.47,177.08,227861004.38,25105003.81,19.51
sorghum,-40,50,-30,80203.34,6939.99,556610012.72,32673099.71,407.38
sorghum,0,30,-40,234896.04,2862.34,672353417.35,44089470.59,187.7
groundnuts,40,40,50,81764.96,1743.69,142572387.74,6764203.35,82.73
groundnuts,30,-10,50,708245.21,247.41,175227631.2,10466301.08,14.78
maize,0,-30,40,450924.04,338.96,152846245.7,14362128.26,31.85
groundnuts,30,40,-50,111620.27,1492.52,166595355.49,12925974.21,115.8
sorghum,-10,-40,0,1224187.62,659.92,807866169.19,47115717.23,38.49
sesame,-40,40,-50,78814.87,1726.33,136060601.71,12056824.75,152.98
maize,-30,40,-10,66361.75,1414.94,93897757.13,5635098.56,84.91
sorghum,50,-30,20,1215636.94,637.78,775314411.12,35914892.04,29.54
sesame,-50,40,20,33490.37,2761.39,92479912.84,2710469.62,80.93
groundnuts,50,50,-50,103868.91,1599.72,166161224.23,13310775.5,128.15
groundnuts,20,-20,-10,1238883.08,151.37,187526195.44,12959087.17,10.46
groundnuts,-30,-40,40,1238883.08,151.37,187526195.44,12959087.17,10.46
groundnuts,40,0,-10,428386.23,445.02,190640369.06,15372270.67,35.88
cassava,10,-40,-20,1199810.8,125.2,150219216.46,4048676.91,3.37
sesame,-30,0,40,349525.61,433.77,151614965.57,7690350.66,22.0
groundnuts,50,30,-40,183685.91,866.16,159101768.44,8625773.48,46.96
cassava,-20,20,-20,47887.57,2641.59,126499197.85,2611258.43,54.53
sesame,0,10,30,250706.72,637.16,159740695.24,10580056.15,42.2
maize,-50,50,10,13441.6,4304.66,57861537.6,1904342.36,141.68
maize,-40,20,10,28033.17,2589.91,72603377.81,3196905.63,114.04
cassava,-20,-10,-20,593253.6,237.39,140829524.17,3240823.33,5.46
maize,-10,10,-40,115566.46,945.38,109254546.64,7509549.49,64.98
maize,10,10,20,115566.46,945.38,109254546.64,7509549.49,64.98
cassava,10,30,-30,47887.57,2641.59,126499197.85,2611258.43,54.53
cassava,-40,20,30,47887.57,2641.59,126499197.85,2611258.43,54.53
sorghum,-40,-40,-10,1212078.24,664.91,805920764.73,46548971.08,38.4
sorghum,-50,10,-30,489914.31,1414.04,692759441.37,25182123.74,51.4
groundnuts,-10,10,-40,154237.02,1048.66,161741550.64,9723679.91,63.04
cassava,20,10,-10,47471.81,2785.66,132240270.54,3178528.79,66.96
groundnuts,20,50,-50,84367.42,1857.18,156685256.69,10908861.35,129.3
cassava,-20,-10,50,583923.29,197.89,115553044.37,1583569.3,2.71
